year,city,total_population,migration_population,ratio
2001,海南(6325),0,0,nan
2002,海南(6325),0,0,nan
2003,海南(6325),0,0,nan
2004,海南(6325),0,0,nan
2005,海南(6325),0,0,nan
2006,海南(6325),0,0,nan
2007,海南(6325),0,0,nan
2008,海南(6325),0,0,nan
2009,海南(6325),0,0,nan
2010,海南(6325),0,0,nan
2011,海南(6325),0,0,nan
2012,海南(6325),0,0,nan
2013,海南(6325),0,0,nan
2014,海南(6325),0,0,nan
2015,海南(6325),0,0,nan
2016,海南(6325),0,0,nan
2017,海南(6325),0,0,nan
2018,海南(6325),0,0,nan
2019,海南(6325),0,0,nan
2020,海南(6325),0,0,nan
2000,海口(4601),652419,124923,19.15
2001,海口(4601),711740,151712,21.32
2002,海口(4601),771034,179541,23.29
2003,海口(4601),832897,211417,25.38
2004,海口(4601),896168,245623,27.41
2005,海口(4601),981449,290106,29.56
2006,海口(4601),1128698,356894,31.62
2007,海口(4601),1285325,432324,33.64
2008,海口(4601),1444560,510426,35.33
2009,海口(4601),1610050,594407,36.92
2010,海口(4601),1672258,603540,36.09
2011,海口(4601),1700526,588294,34.59
2012,海口(4601),1710277,569080,33.27
2013,海口(4601),1755755,570838,32.51
2014,海口(4601),1784291,560779,31.43
2015,海口(4601),1720546,526207,30.58
2016,海口(4601),1682554,497706,29.58
2017,海口(4601),1651315,471306,28.54
2018,海口(4601),1608368,443090,27.55
2019,海口(4601),1555664,414321,26.63
2020,海口(4601),2447050,628862,25.7
2000,淄博(3703),383024,18303,4.78
2001,淄博(3703),384329,19619,5.1
2002,淄博(3703),387896,21327,5.5
2003,淄博(3703),392783,22855,5.82
2004,淄博(3703),398970,24687,6.19
2005,淄博(3703),413468,26824,6.49
2006,淄博(3703),452487,30940,6.84
2007,淄博(3703),490905,35280,7.19
2008,淄博(3703),529725,40006,7.55
2009,淄博(3703),569028,45142,7.93
2010,淄博(3703),592292,49110,8.29
2011,淄博(3703),616023,50769,8.24
2012,淄博(3703),631701,51822,8.2
2013,淄博(3703),655600,53553,8.17
2014,淄博(3703),676734,55013,8.13
2015,淄博(3703),660417,53350,8.08
2016,淄博(3703),654391,52354,8.0
2017,淄博(3703),651464,51891,7.97
2018,淄博(3703),643599,51451,7.99
2019,淄博(3703),630247,50394,8.0
2020,淄博(3703),1004090,80091,7.98
2000,淮北(3406),82139,1793,2.18
2001,淮北(3406),86227,2073,2.4
2002,淮北(3406),90358,2509,2.78
2003,淮北(3406),94654,2933,3.1
2004,淮北(3406),98554,3210,3.26
2005,淮北(3406),104283,3841,3.68
2006,淮北(3406),116327,4601,3.96
2007,淮北(3406),128303,5394,4.2
2008,淮北(3406),140843,6466,4.59
2009,淮北(3406),152989,7430,4.86
2010,淮北(3406),160554,8039,5.01
2011,淮北(3406),167333,8499,5.08
2012,淮北(3406),171788,8879,5.17
2013,淮北(3406),178029,8778,4.93
2014,淮北(3406),183824,9055,4.93
2015,淮北(3406),179337,8743,4.88
2016,淮北(3406),177827,8578,4.82
2017,淮北(3406),176862,8434,4.77
2018,淮北(3406),174671,8258,4.73
2019,淮北(3406),170884,7986,4.67
2020,淮北(3406),274416,14728,5.37
2000,淮南(3404),166237,7030,4.23
2001,淮南(3404),170581,8027,4.71
2002,淮南(3404),175717,8982,5.11
2003,淮南(3404),180787,9912,5.48
2004,淮南(3404),185769,10427,5.61
2005,淮南(3404),195103,11712,6.0
2006,淮南(3404),215358,13744,6.38
2007,淮南(3404),236463,16145,6.83
2008,淮南(3404),257417,18693,7.26
2009,淮南(3404),278446,21350,7.67
2010,淮南(3404),291565,23190,7.95
2011,淮南(3404),295697,16355,5.53
2012,淮南(3404),303383,16787,5.53
2013,淮南(3404),314791,17498,5.56
2014,淮南(3404),325594,18467,5.67
2015,淮南(3404),318144,18248,5.74
2016,淮南(3404),315314,18022,5.72
2017,淮南(3404),314529,18138,5.77
2018,淮南(3404),311152,18450,5.93
2019,淮南(3404),304849,18255,5.99
2020,淮南(3404),486005,29691,6.11
2000,淮安(3208),0,0,nan
2001,淮安(3208),0,0,nan
2002,淮安(3208),0,0,nan
2003,淮安(3208),0,0,nan
2004,淮安(3208),0,0,nan
2005,淮安(3208),0,0,nan
2006,淮安(3208),0,0,nan
2007,淮安(3208),0,0,nan
2008,淮安(3208),0,0,nan
2009,淮安(3208),0,0,nan
2010,淮安(3208),0,0,nan
2011,淮安(3208),0,0,nan
2012,淮安(3208),0,0,nan
2013,淮安(3208),0,0,nan
2014,淮安(3208),0,0,nan
2015,淮安(3208),0,0,nan
2016,淮安(3208),0,0,nan
2017,淮安(3208),0,0,nan
2018,淮安(3208),0,0,nan
2019,淮安(3208),0,0,nan
2020,淮安(3208),0,0,nan
2000,深圳(4403),64437069,53742309,83.4
2001,深圳(4403),64273014,54034787,84.07
2002,深圳(4403),65342031,55437618,84.84
2003,深圳(4403),62363966,52706221,84.51
2004,深圳(4403),63899282,54423150,85.17
2005,深圳(4403),64861333,55347876,85.33
2006,深圳(4403),62670141,52564773,83.88
2007,深圳(4403),61878836,51201259,82.74
2008,深圳(4403),61242238,50008314,81.66
2009,深圳(4403),61199470,49422253,80.76
2010,深圳(4403),59390307,47401595,79.81
2011,深圳(4403),47475932,34999124,73.72
2012,深圳(4403),41600065,28797648,69.23
2013,深圳(4403),38916433,25625897,65.85
2014,深圳(4403),36910020,23185423,62.82
2015,深圳(4403),32515634,19116765,58.79
2016,深圳(4403),29772863,16482299,55.36
2017,深圳(4403),27663791,14427500,52.15
2018,深圳(4403),25984247,12910539,49.69
2019,深圳(4403),24810585,12008200,48.4
2020,深圳(4403),38445213,18048306,46.95
2000,清远(4418),255074,10870,4.26
2001,清远(4418),276953,13318,4.81
2002,清远(4418),297576,16091,5.41
2003,清远(4418),317177,18815,5.93
2004,清远(4418),336268,21596,6.42
2005,清远(4418),361683,25304,7.0
2006,清远(4418),408153,30725,7.53
2007,清远(4418),455657,37016,8.12
2008,清远(4418),504153,43956,8.72
2009,清远(4418),553539,51660,9.33
2010,清远(4418),587660,58124,9.89
2011,清远(4418),611047,59903,9.8
2012,清远(4418),626244,60871,9.72
2013,清远(4418),649750,62751,9.66
2014,清远(4418),670023,63878,9.53
2015,清远(4418),653781,61974,9.48
2016,清远(4418),648098,61146,9.43
2017,清远(4418),645057,60440,9.37
2018,清远(4418),636756,59330,9.32
2019,清远(4418),623166,57772,9.27
2020,清远(4418),992217,91481,9.22
2000,温州(3303),3017275,540839,17.92
2001,温州(3303),3253192,660403,20.3
2002,温州(3303),3498936,792427,22.65
2003,温州(3303),3756128,937750,24.97
2004,温州(3303),4025727,1097437,27.26
2005,温州(3303),4388625,1295957,29.53
2006,温州(3303),5042060,1605921,31.85
2007,温州(3303),5713828,1933154,33.83
2008,温州(3303),6145054,2020152,32.87
2009,温州(3303),6833494,2363606,34.59
2010,温州(3303),7265033,2575516,35.45
2011,温州(3303),7557021,2676670,35.42
2012,温州(3303),7720708,2712974,35.14
2013,温州(3303),7995613,2797099,34.98
2014,温州(3303),8226997,2858540,34.75
2015,温州(3303),8003444,2762347,34.51
2016,温州(3303),7914037,2715437,34.31
2017,温州(3303),7864323,2686767,34.16
2018,温州(3303),7749203,2635476,34.01
2019,温州(3303),7572657,2564926,33.87
2020,温州(3303),12048383,4069781,33.78
2000,渭南(6105),129023,1612,1.25
2001,渭南(6105),121106,1492,1.23
2002,渭南(6105),115115,1477,1.28
2003,渭南(6105),110502,1425,1.29
2004,渭南(6105),106800,1412,1.32
2005,渭南(6105),105628,1425,1.35
2006,渭南(6105),110893,1492,1.35
2007,渭南(6105),115727,1684,1.46
2008,渭南(6105),120416,1792,1.49
2009,渭南(6105),124797,1896,1.52
2010,渭南(6105),125839,1969,1.56
2011,渭南(6105),131042,2044,1.56
2012,渭南(6105),134316,2077,1.55
2013,渭南(6105),139685,2260,1.62
2014,渭南(6105),143984,2296,1.59
2015,渭南(6105),140775,2272,1.61
2016,渭南(6105),139664,2272,1.63
2017,渭南(6105),139017,2272,1.63
2018,渭南(6105),137547,2333,1.7
2019,渭南(6105),134564,2333,1.73
2020,渭南(6105),214520,3884,1.81
2000,湖州(3305),365555,25970,7.1
2001,湖州(3305),405969,34007,8.38
2002,湖州(3305),444992,43098,9.69
2003,湖州(3305),481947,52609,10.92
2004,湖州(3305),518881,63083,12.16
2005,湖州(3305),565436,75751,13.4
2006,湖州(3305),645477,93306,14.46
2007,湖州(3305),728224,113228,15.55
2008,湖州(3305),813612,135429,16.65
2009,湖州(3305),901905,160303,17.77
2010,湖州(3305),965278,180757,18.73
2011,湖州(3305),1004410,187871,18.7
2012,湖州(3305),1024517,186877,18.24
2013,湖州(3305),1060760,191112,18.02
2014,湖州(3305),1092526,194474,17.8
2015,湖州(3305),1063851,187078,17.58
2016,湖州(3305),1051177,181483,17.26
2017,湖州(3305),1042858,176797,16.95
2018,湖州(3305),1026309,170845,16.65
2019,湖州(3305),1000747,163132,16.3
2020,湖州(3305),1590413,255649,16.07
2000,湘潭(4303),191203,7065,3.7
2001,湘潭(4303),190298,7597,3.99
2002,湘潭(4303),190303,8105,4.26
2003,湘潭(4303),191583,8721,4.55
2004,湘潭(4303),193803,9337,4.82
2005,湘潭(4303),199751,10289,5.15
2006,湘潭(4303),217337,11773,5.42
2007,湘潭(4303),235430,13461,5.72
2008,湘潭(4303),252386,15070,5.97
2009,湘潭(4303),270012,17018,6.3
2010,湘潭(4303),279955,18431,6.58
2011,湘潭(4303),291389,19139,6.57
2012,湘潭(4303),299129,19633,6.56
2013,湘潭(4303),310481,20456,6.59
2014,湘潭(4303),320762,21217,6.61
2015,湘潭(4303),313177,20701,6.61
2016,湘潭(4303),310331,20452,6.59
2017,湘潭(4303),309244,20453,6.61
2018,湘潭(4303),305633,20321,6.65
2019,湘潭(4303),299211,19740,6.6
2020,湘潭(4303),476571,31639,6.64
2000,湛江(4408),285826,7249,2.54
2001,湛江(4408),290460,7873,2.71
2002,湛江(4408),296094,8686,2.93
2003,湛江(4408),302194,9348,3.09
2004,湛江(4408),308614,9972,3.23
2005,湛江(4408),321919,11145,3.46
2006,湛江(4408),353557,12681,3.59
2007,湛江(4408),385488,14601,3.79
2008,湛江(4408),417102,16894,4.05
2009,湛江(4408),448782,18974,4.23
2010,湛江(4408),468307,20698,4.42
2011,湛江(4408),487424,21387,4.39
2012,湛江(4408),499869,21750,4.35
2013,湛江(4408),518528,22314,4.3
2014,湛江(4408),536164,23662,4.41
2015,湛江(4408),523503,23174,4.43
2016,湛江(4408),519106,22897,4.41
2017,湛江(4408),517173,22866,4.42
2018,湛江(4408),510786,22642,4.43
2019,湛江(4408),500337,22226,4.44
2020,湛江(4408),796806,35331,4.43
2000,滁州(3411),122540,1812,1.48
2001,滁州(3411),128032,2133,1.67
2002,滁州(3411),133617,2572,1.92
2003,滁州(3411),139743,3101,2.22
2004,滁州(3411),145223,3516,2.42
2005,滁州(3411),153484,4065,2.65
2006,滁州(3411),170740,5028,2.94
2007,滁州(3411),188046,5921,3.15
2008,滁州(3411),205748,6949,3.38
2009,滁州(3411),223548,8029,3.59
2010,滁州(3411),234892,9294,3.96
2011,滁州(3411),244699,9745,3.98
2012,滁州(3411),250725,9873,3.94
2013,滁州(3411),260482,10433,4.01
2014,滁州(3411),268975,10637,3.95
2015,滁州(3411),262454,10434,3.98
2016,滁州(3411),260398,10326,3.97
2017,滁州(3411),259332,10289,3.97
2018,滁州(3411),255935,9973,3.9
2019,滁州(3411),250664,9793,3.91
2020,滁州(3411),399465,15711,3.93
2000,滨州(3716),116080,1909,1.64
2001,滨州(3716),121496,2336,1.92
2002,滨州(3716),127536,2748,2.15
2003,滨州(3716),132884,3193,2.4
2004,滨州(3716),138551,3776,2.73
2005,滨州(3716),146503,4224,2.88
2006,滨州(3716),163231,5077,3.11
2007,滨州(3716),179840,5985,3.33
2008,滨州(3716),196930,7113,3.61
2009,滨州(3716),213946,8105,3.79
2010,滨州(3716),224782,8962,3.99
2011,滨州(3716),233909,9186,3.93
2012,滨州(3716),240179,9546,3.97
2013,滨州(3716),249031,9746,3.91
2014,滨州(3716),257100,9906,3.85
2015,滨州(3716),251106,9745,3.88
2016,滨州(3716),248907,9625,3.87
2017,滨州(3716),247920,9546,3.85
2018,滨州(3716),244730,9306,3.8
2019,滨州(3716),239704,9089,3.79
2020,滨州(3716),381794,14485,3.79
2000,漯河(4111),88769,1684,1.9
2001,漯河(4111),87201,1737,1.99
2002,漯河(4111),86780,1848,2.13
2003,漯河(4111),86341,1896,2.2
2004,漯河(4111),86482,2020,2.34
2005,漯河(4111),88435,2272,2.57
2006,漯河(4111),95607,2549,2.67
2007,漯河(4111),102968,2933,2.85
2008,漯河(4111),109795,3205,2.92
2009,漯河(4111),116699,3629,3.11
2010,漯河(4111),120453,3845,3.19
2011,漯河(4111),125275,3909,3.12
2012,漯河(4111),128573,4065,3.16
2013,漯河(4111),133560,4374,3.27
2014,漯河(4111),138160,4613,3.34
2015,漯河(4111),134787,4545,3.37
2016,漯河(4111),133692,4485,3.35
2017,漯河(4111),133301,4497,3.37
2018,漯河(4111),131577,4485,3.41
2019,漯河(4111),128768,4265,3.31
2020,漯河(4111),205437,7114,3.46
2000,漳州(3506),350386,14066,4.01
2001,漳州(3506),367639,16715,4.55
2002,漳州(3506),384999,19590,5.09
2003,漳州(3506),402190,22395,5.57
2004,漳州(3506),419604,25520,6.08
2005,漳州(3506),445115,29336,6.59
2006,漳州(3506),496667,35249,7.1
2007,漳州(3506),548628,41575,7.58
2008,漳州(3506),601099,48399,8.05
2009,漳州(3506),654169,55694,8.51
2010,漳州(3506),689759,62165,9.01
2011,漳州(3506),716724,63641,8.88
2012,漳州(3506),734792,64747,8.81
2013,漳州(3506),762294,66637,8.74
2014,漳州(3506),786876,68585,8.72
2015,漳州(3506),767715,66432,8.65
2016,漳州(3506),761230,65613,8.62
2017,漳州(3506),757994,65188,8.6
2018,漳州(3506),748300,64031,8.56
2019,漳州(3506),732873,62826,8.57
2020,漳州(3506),1167771,100166,8.58
2000,潍坊(3707),328460,6852,2.09
2001,潍坊(3707),359308,8761,2.44
2002,潍坊(3707),388400,10901,2.81
2003,潍坊(3707),415500,13125,3.16
2004,潍坊(3707),442223,15709,3.55
2005,潍坊(3707),476013,18518,3.89
2006,潍坊(3707),537712,22818,4.24
2007,潍坊(3707),600649,27486,4.58
2008,潍坊(3707),664046,32671,4.92
2009,潍坊(3707),728159,38411,5.28
2010,潍坊(3707),772000,42719,5.53
2011,潍坊(3707),803144,44192,5.5
2012,潍坊(3707),823790,45102,5.47
2013,潍坊(3707),855240,46739,5.47
2014,潍坊(3707),883083,48187,5.46
2015,潍坊(3707),861967,46911,5.44
2016,潍坊(3707),854447,46019,5.39
2017,潍坊(3707),851031,45807,5.38
2018,潍坊(3707),840438,45178,5.38
2019,潍坊(3707),823083,44371,5.39
2020,潍坊(3707),1310813,70312,5.36
2000,潮州(4451),209426,9614,4.59
2001,潮州(4451),222151,11395,5.13
2002,潮州(4451),235116,13591,5.78
2003,潮州(4451),247409,15724,6.36
2004,潮州(4451),259609,18036,6.95
2005,潮州(4451),277054,20938,7.56
2006,潮州(4451),310675,25414,8.18
2007,潮州(4451),344503,29930,8.69
2008,潮州(4451),378864,34845,9.2
2009,潮州(4451),413161,40104,9.71
2010,潮州(4451),436700,44300,10.14
2011,潮州(4451),454472,46090,10.14
2012,潮州(4451),466177,47182,10.12
2013,潮州(4451),483939,48966,10.12
2014,潮州(4451),499791,50545,10.11
2015,潮州(4451),489625,51155,10.45
2016,潮州(4451),485744,50809,10.46
2017,潮州(4451),483800,50632,10.47
2018,潮州(4451),478162,50151,10.49
2019,潮州(4451),468068,49099,10.49
2020,潮州(4451),746623,78952,10.57
2000,濮阳(4109),141703,3053,2.15
2001,濮阳(4109),137247,3113,2.27
2002,濮阳(4109),134079,3140,2.34
2003,濮阳(4109),131818,3205,2.43
2004,濮阳(4109),130630,3296,2.52
2005,濮阳(4109),132140,3496,2.65
2006,濮阳(4109),141541,3897,2.75
2007,濮阳(4109),150382,4449,2.96
2008,濮阳(4109),159250,4893,3.07
2009,濮阳(4109),168182,5304,3.15
2010,濮阳(4109),172023,5525,3.21
2011,濮阳(4109),179235,5760,3.21
2012,濮阳(4109),183603,5821,3.17
2013,濮阳(4109),190626,5925,3.11
2014,濮阳(4109),196828,6085,3.09
2015,濮阳(4109),192101,5921,3.08
2016,濮阳(4109),190541,5845,3.07
2017,濮阳(4109),189672,5833,3.08
2018,濮阳(4109),187472,5821,3.1
2019,濮阳(4109),183497,5721,3.12
2020,濮阳(4109),292339,8998,3.08
2000,烟台(3706),654396,33455,5.11
2001,烟台(3706),683002,39212,5.74
2002,烟台(3706),712220,45080,6.33
2003,烟台(3706),741250,51207,6.91
2004,烟台(3706),771351,57735,7.48
2005,烟台(3706),816005,65558,8.03
2006,烟台(3706),908999,78571,8.64
2007,烟台(3706),1003552,92440,9.21
2008,烟台(3706),1098799,107783,9.81
2009,烟台(3706),1195791,124358,10.4
2010,烟台(3706),1261881,140310,11.12
2011,烟台(3706),1313312,145885,11.11
2012,烟台(3706),1347273,149452,11.09
2013,烟台(3706),1398426,155118,11.09
2014,烟台(3706),1443783,159714,11.06
2015,烟台(3706),1409531,155873,11.06
2016,烟台(3706),1396531,153211,10.97
2017,烟台(3706),1390468,152039,10.93
2018,烟台(3706),1372509,149334,10.88
2019,烟台(3706),1343785,145900,10.86
2020,烟台(3706),2142035,233708,10.91
2000,焦作(4108),220050,7681,3.49
2001,焦作(4108),210952,7689,3.64
2002,焦作(4108),204681,7749,3.79
2003,焦作(4108),199970,7785,3.89
2004,焦作(4108),196622,7877,4.01
2005,焦作(4108),197983,8258,4.17
2006,焦作(4108),210457,9058,4.3
2007,焦作(4108),222808,9894,4.44
2008,焦作(4108),234816,10738,4.57
2009,焦作(4108),246630,11634,4.72
2010,焦作(4108),251241,11762,4.68
2011,焦作(4108),261528,12338,4.72
2012,焦作(4108),268430,12671,4.72
2013,焦作(4108),278786,13303,4.77
2014,焦作(4108),287877,13639,4.74
2015,焦作(4108),280983,13290,4.73
2016,焦作(4108),278502,13078,4.7
2017,焦作(4108),277734,13078,4.71
2018,焦作(4108),274149,13047,4.76
2019,焦作(4108),268379,12610,4.7
2020,焦作(4108),427647,20132,4.71
2000,牡丹江(2310),129597,3869,2.99
2001,牡丹江(2310),148135,5478,3.7
2002,牡丹江(2310),164903,7250,4.4
2003,牡丹江(2310),180604,9175,5.08
2004,牡丹江(2310),195916,11339,5.79
2005,牡丹江(2310),214440,13836,6.45
2006,牡丹江(2310),245510,17637,7.18
2007,牡丹江(2310),277432,21823,7.87
2008,牡丹江(2310),310544,26639,8.58
2009,牡丹江(2310),343639,31842,9.27
2010,牡丹江(2310),367896,36614,9.95
2011,牡丹江(2310),383192,38235,9.98
2012,牡丹江(2310),393139,39246,9.98
2013,牡丹江(2310),407978,40583,9.95
2014,牡丹江(2310),421087,41903,9.95
2015,牡丹江(2310),411319,40944,9.95
2016,牡丹江(2310),407991,40595,9.95
2017,牡丹江(2310),406504,40479,9.96
2018,牡丹江(2310),401464,40063,9.98
2019,牡丹江(2310),393421,39284,9.99
2020,牡丹江(2310),626646,62921,10.04
2000,玉林(4509),151680,2076,1.37
2001,玉林(4509),150484,2272,1.51
2002,玉林(4509),149822,2516,1.68
2003,玉林(4509),150226,2572,1.71
2004,玉林(4509),151259,2808,1.86
2005,玉林(4509),155404,3088,1.99
2006,玉林(4509),168620,3504,2.08
2007,玉林(4509),181720,3909,2.15
2008,玉林(4509),194683,4545,2.33
2009,玉林(4509),207991,5041,2.42
2010,玉林(4509),215077,5733,2.67
2011,玉林(4509),223837,5857,2.62
2012,玉林(4509),229509,5924,2.58
2013,玉林(4509),238097,6085,2.56
2014,玉林(4509),245789,6260,2.55
2015,玉林(4509),240056,5988,2.49
2016,玉林(4509),237956,5949,2.5
2017,玉林(4509),237000,5920,2.5
2018,玉林(4509),234121,5833,2.49
2019,玉林(4509),229324,5733,2.5
2020,玉林(4509),365134,9089,2.49
2000,玉溪(5304),212389,10875,5.12
2001,玉溪(5304),213336,11847,5.55
2002,玉溪(5304),215587,12964,6.01
2003,玉溪(5304),218878,13895,6.35
2004,玉溪(5304),222427,15076,6.78
2005,玉溪(5304),230574,16573,7.19
2006,玉溪(5304),252341,18941,7.51
2007,玉溪(5304),274059,21654,7.9
2008,玉溪(5304),296062,24546,8.29
2009,玉溪(5304),317885,27534,8.66
2010,玉溪(5304),330985,29958,9.05
2011,玉溪(5304),344325,30917,8.98
2012,玉溪(5304),353056,31545,8.93
2013,玉溪(5304),367041,33294,9.07
2014,玉溪(5304),379282,34574,9.12
2015,玉溪(5304),370272,33782,9.12
2016,玉溪(5304),367352,33510,9.12
2017,玉溪(5304),365907,33456,9.14
2018,玉溪(5304),361587,33257,9.2
2019,玉溪(5304),354271,32691,9.23
2020,玉溪(5304),564535,52317,9.27
2000,珠海(4404),2005763,943247,47.03
2001,珠海(4404),1785208,808457,45.29
2002,珠海(4404),1630093,720794,44.22
2003,珠海(4404),1503010,648881,43.17
2004,珠海(4404),1392407,583985,41.94
2005,珠海(4404),1332301,548294,41.15
2006,珠海(4404),1349760,544470,40.34
2007,珠海(4404),1362926,539020,39.55
2008,珠海(4404),1368265,528169,38.6
2009,珠海(4404),1374564,520231,37.85
2010,珠海(4404),1348912,504243,37.38
2011,珠海(4404),1360301,481191,35.37
2012,珠海(4404),1359801,457779,33.67
2013,珠海(4404),1387933,451510,32.53
2014,珠海(4404),1408363,441281,31.33
2015,珠海(4404),1363657,419540,30.77
2016,珠海(4404),1333761,397287,29.79
2017,珠海(4404),1299017,366277,28.2
2018,珠海(4404),1251899,330837,26.43
2019,珠海(4404),1203402,301202,25.03
2020,珠海(4404),1886992,449722,23.83
2000,白城(2208),0,0,nan
2001,白城(2208),0,0,nan
2002,白城(2208),0,0,nan
2003,白城(2208),0,0,nan
2004,白城(2208),0,0,nan
2005,白城(2208),0,0,nan
2006,白城(2208),0,0,nan
2007,白城(2208),0,0,nan
2008,白城(2208),0,0,nan
2009,白城(2208),0,0,nan
2010,白城(2208),0,0,nan
2011,白城(2208),0,0,nan
2012,白城(2208),0,0,nan
2013,白城(2208),0,0,nan
2014,白城(2208),0,0,nan
2015,白城(2208),0,0,nan
2016,白城(2208),0,0,nan
2017,白城(2208),0,0,nan
2018,白城(2208),0,0,nan
2019,白城(2208),0,0,nan
2020,白城(2208),0,0,nan
2000,白山(2206),0,0,nan
2001,白山(2206),0,0,nan
2002,白山(2206),0,0,nan
2003,白山(2206),0,0,nan
2004,白山(2206),0,0,nan
2005,白山(2206),0,0,nan
2006,白山(2206),0,0,nan
2007,白山(2206),0,0,nan
2008,白山(2206),0,0,nan
2009,白山(2206),0,0,nan
2010,白山(2206),0,0,nan
2011,白山(2206),0,0,nan
2012,白山(2206),0,0,nan
2013,白山(2206),0,0,nan
2014,白山(2206),0,0,nan
